,,Barcelo Maya Palace (5)   ,,,El Dorado Royale (5)   ,,,Hilton Tulum Resort (5)   ,,,Margaritaville Island Reserve Riviera Cancu (5)   ,,,Royal Hideaway Playacar (5)   ,,,Royalton Splash Riviera Cancun (5)   ,,,,
,17-Jan-23,24-Jan-23,31-Jan-23,17-Jan-23,24-Jan-23,31-Jan-23,17-Jan-23,24-Jan-23,31-Jan-23,17-Jan-23,24-Jan-23,31-Jan-23,17-Jan-23,24-Jan-23,31-Jan-23,17-Jan-23,24-Jan-23,31-Jan-23,17-Jan-23,24-Jan-23,31-Jan-23
,24-Jan-23,31-Jan-23,7-Feb-23,24-Jan-23,31-Jan-23,7-Feb-23,24-Jan-23,31-Jan-23,7-Feb-23,24-Jan-23,31-Jan-23,7-Feb-23,24-Jan-23,31-Jan-23,7-Feb-23,24-Jan-23,31-Jan-23,7-Feb-23,24-Jan-23,31-Jan-23,7-Feb-23
03-May-23,,,,,,,2855,3103,2769,2479,2479,2479,,,,2399,2399,2429,,,
09-May-23,,,,,,,2619,2599,2619,2539,2519,2579,,,,2399,2389,2479,,,
15-May-23,,,,,,,2599,2599,2599,2519,2519,2559,,,,2389,2389,2469,,,
23-May-23,,,,,,,2699,2599,2749,2519,2519,2559,,,,2389,2389,2469,,,
29-May-23,,,,,,,2685,2345,2095,2529,2519,2569,,,,2399,2329,2399,,,
06-Jun-23,,,,,,,2711,2161,2161,2539,2539,2579,,,,2299,2299,2409,,,
14-Jun-23,1859,1859,1859,,,,2549,2019,2019,2515,2529,2535,,,,2265,2295,2355,,,
16-Jun-23,1849,1849,1769,,,,2549,2019,2019,2515,2529,2535,,,,2265,2295,2355,,,
20-Jun-23,1719,1719,1719,,,,2299,1839,1839,2515,2529,2535,2349,2289,2249,2265,2295,2355,,,
06-Jul-23,2030,2069,2030,,,,1810,1840,1850,2515,2535,2535,2520,2459,2430,2265,2295,2355,,,
11-Jul-23,2129,2079,2129,,,,1920,2741,2261,2165,2195,2215,2539,2419,2459,2335,2375,2405,,,
17-Jul-23,2160,2079,2099,,,,2960,2740,2741,2119,2119,2229,2619,2459,2419,2315,2359,2405,,,
18-Jul-23,2140,2079,2099,,,,2930,2710,2710,2119,2119,2220,2619,2459,2419,2315,2359,2405,,,
20-Jul-23,2050,2050,2050,2170,2170,2210,2820,2610,2610,2080,2080,2110,2430,2370,2340,2315,2359,2405,,,
24-Jul-23,2050,2050,2050,2170,2170,2210,2820,2610,2610,2080,2080,2120,2430,2370,2340,2315,2259,2405,,,
01-Aug-23,2050,2029,2069,2170,2239,2250,2559,2559,2609,2080,2099,2140,2430,2419,2360,2185,2215,2325,,,
04-Aug-23,2039,2039,2019,2159,2239,2250,2479,2559,2222,2019,2099,2140,2430,2419,2339,2179,2215,2325,,,
07-Aug-23,2039,2039,2039,2159,2221,2231,2499,2619,2222,2019,2099,2111,2422,2361,2339,2009,2055,2245,,,
08-Aug-23,2039,2039,2019,2159,2213,2253,2323,2293,2223,2019,2073,2143,2413,2363,2339,2009,2055,2245,,,
15-Aug-23,1979,2009,2019,2149,2213,2243,2303,2363,2173,2019,2063,2123,2399,2349,2339,2005,2055,2245,,,
23-Aug-23,2009,2009,1954,2159,2239,2295,2374,2619,2609,2019,2084,2144,2219,2229,2339,2005,2055,2245,,,
28-Aug-23,2009,1894,1924,2159,2239,2295,2274,2619,2504,2019,2054,2144,2219,2214,2334,2005,2055,2245,,,
30-Aug-23,1894,1894,1924,2159,2239,2235,2214,2619,2504,2019,2054,2144,2179,2205,2279,1955,2055,2175,,,
04-Sep-23,1894,1894,1894,2159,2169,2169,2214,2489,2505,2019,2039,2174,2189,2204,2274,2009,1999,2249,,,
06-Sep-23,1855,1855,1855,1989,1989,2105,2195,2389,2469,1889,1939,2049,2099,2099,2279,1909,1899,2089,,,
08-Sep-23,1885,1885,1885,1989,1989,2085,2195,2389,2469,1899,1939,2049,2159,2179,2295,1909,1899,2089,,,
11-Sep-23,1885,1885,1885,1989,2039,2085,2195,2429,2469,1899,1989,2049,2159,2179,2295,1909,1939,2089,,,
13-Sep-23,1885,1885,1885,1989,2049,2085,2195,2429,2489,1899,2019,2049,2169,2189,2295,1909,1969,2089,,,
18-Sep-23,1949,1979,2005,1989,2049,2085,2294,2429,2469,1949,1999,2049,2069,2089,2239,1909,1969,2089,,,
22-Sep-23,1929,1949,2009,2029,2069,2109,2409,2459,2469,1959,2029,2059,2039,2069,2209,1939,1999,2165,,,
25-Sep-23,2024,2023,2023,2059,2099,2109,2409,2459,2469,1959,2029,2059,2184,2184,2263,1939,1989,2089,,,
26-Sep-23,1984,1984,2023,2059,2099,2109,2409,2459,2469,1959,2029,2059,2174,2174,2263,1939,1989,2089,,,
28-Sep-23,1984,1984,1984,2059,2099,2099,2084,2459,2449,1969,2029,2049,2139,2159,2229,1939,1999,2099,,,
02-Oct-23,2024,2024,2024,2069,2099,2099,2134,2449,2449,1969,2019,2049,2089,2109,2229,1929,1989,2099,,,
03-Oct-23,2023,2023,2023,2219,2219,2269,2133,2579,2539,2119,2123,2129,2099,2119,2239,2079,2109,2125,,,
04-Oct-23,1983,1983,1983,2219,2219,2269,2083,2579,2539,2073,2073,2139,2119,2123,2193,2079,2109,2125,,,
05-Oct-23,2014,2014,2014,2299,2329,2269,2114,2209,2144,2104,2104,2139,2119,2129,2234,2065,2109,2185,,,
10-Oct-23,2049,2055,2055,2145,2145,2215,2155,2209,2149,2135,2135,2139,2185,2185,2255,2065,2109,2175,,,
